id,codigo,ref_prod,desc_prod,qtde
2465,2761,"LR 3TX6MX3M","CINTA LR 3TX6MX3M",0.00
2466,M57P604,"LR 6TX4MX2M","CINTA LR 6TX4MX2M",0.00
2467,M57P608,"LR 6TX 8M X 4M","CINTA LR 6TX 8M X 4M",0.00
2468,BRM57P806,"LR 8TX6MX3M","CINTA LR 8TX6MX3M",0.00
2469,LRD790008,"LR 8TX6MX3M","CINTA LR 8TX6MX3M",0.00
2470,LRD790010X6X3,"LR 10TX6MX3M","CINTA LR 10TX6MX3M",0.00
2471,20015T-2X1,"LR 15TX2MX1M","CINTA LR 15TX2MX1M",0.00
2472,20015T-6X3,"LR 15TX6MX3M","CINTA LR 15TX6MX3M",0.00
2473,20020T-4X2,"LR 20TX4MX2M","CINTA LR 20TX4MX2M",0.00
2474,20020T-8MX4M,"LR 20TX8X4M","CINTA LR 20TX8X4M",0.00
2475,LRD790020,"LR 20TX14MX7M","CINTA LR 20TX14MX7M",0.00
2476,"CSF790001-0,5","LCR 1TX1TX0,5","CINTA CSF 1TX1TX0,5",0.00
2477,M30P102,"CSF 1TX4MX2M","CINTA CSF 1TX4MX2M",0.00
2478,CSF790001-2X1,"CSF 1TX2MX1M","CINTA CSF 1TX2MX1M",0.00
2479,"CSF790001-1,5","CSF 1TX3MX1,5M","CINTA CSF 1TX3MX1,5M",0.00
2480,CSF790001-2,"CSF 1TX4MX2M","CINTA CSF 1TX4MX2M",0.00
2481,"CSF790002-0,5","CSF 2TX1MX0,5M","CINTA CSF 2TX1MX0,5M",0.00
2482,BRM30P202,"CSF 2TX2MX1M","CINTA CSF 2TX2MX1M",0.00
2483,CSF790002-1,"CFS 2TX2MX1M","CINTA CFS 2TX2MX1M",0.00
2484,"CSF790002-1,5","CSF 2TX3MX1,5M","CINTA CSF 2TX3MX1,5M",0.00
2485,CSF790002-2,"CSF 2TX4MX2M","CINTA CSF 2TX4MX2M",0.00
2486,"COE790003-5X2,5","CSF 2TX5MX2,5M","CINTA CSF 2TX5MX2,5M",0.00
2487,CJA951050950050,"CINTA COM CATRACA 50MM X 9,5 M X 0,50 M","CINTA COM CATRACA 50MM X 9,5 M X 0,50 M",0.00
2488,CJA790050PR5,"CINTA COM CATRACA 50MM X 10M - GANCHO DELTA - METSO","CINTA COM CATRACA 50MM X 10M - GANCHO DELTA - METSO",2.00
2489,CJA790050PR5-15,"CINTA COM CATRACA 50MM 5TX15M","CINTA COM CATRACA 50MM 5TX15M",0.00
2490,1597,"CINTA COM CATRACA 50MM X 10M - OLHAL DELTA - METSO","CINTA COM CATRACA 50MM X 10M - OLHAL DELTA - METSO",0.00
2491,1840,"CINTA COM CATRACA 0,30 + 9,70 GANCHO J","CINTA COM CATRACA 0,30 + 9,70 GANCHO J",0.00
2492,3872,"CINTA COM CATRACA 0,50 + 7,50M","CINTA COM CATRACA 0,50 + 7,50M - EK100G CFJ 0,50 / FJ 7,50M",0.00
2493,2633,"CINTA COM CATRACA 50MM X 10M - OLHAL DELTA - METSO","EK50H CFT 0,50 / FT 10,00M",0.00
2494,13438,"CINTA COM CATRACA - EK50G CFT 0,50/FT 3,5M OP 67366      PARA LINGA METSO","CINTA COM CATRACA - EK50G CFT 0,50/FT 3,5M OP 67366      PARA LINGA METSO",0.00
2495,4469,"CINTA COM CATRACA EK50E CFJ 0,30 / FJ 3,70","CINTA COM CATRACA",0.00
